idx,t_us,evt,core,prio,task_id,aux,evt_name
494,49855987,1,0,1,2,0,SW_IN
495,49856969,3,0,1,2,0,TICK
496,49856977,2,0,1,2,0,SW_OUT
497,49856985,1,0,1,4,0,SW_IN
498,49857969,3,0,1,4,0,TICK
499,49857977,2,0,1,4,0,SW_OUT
500,49857986,1,0,1,1,0,SW_IN
501,49858969,3,0,1,1,0,TICK
502,49858977,2,0,1,1,0,SW_OUT
503,49858984,1,0,1,5,0,SW_IN
504,49859969,3,0,1,5,0,TICK
505,49859978,2,0,1,5,0,SW_OUT
506,49859986,1,0,1,3,0,SW_IN
507,49860969,3,0,1,3,0,TICK
508,49860977,2,0,1,3,0,SW_OUT
509,49860985,1,0,1,2,0,SW_IN
510,49861969,3,0,1,2,0,TICK
511,49861977,2,0,1,2,0,SW_OUT
512,49861985,1,0,1,4,0,SW_IN
513,49862969,3,0,1,4,0,TICK
514,49862977,2,0,1,4,0,SW_OUT
515,49862986,1,0,1,1,0,SW_IN
516,49863969,3,0,1,1,0,TICK
517,49863977,2,0,1,1,0,SW_OUT
518,49863984,1,0,1,5,0,SW_IN
519,49864969,3,0,1,5,0,TICK
520,49864977,2,0,1,5,0,SW_OUT
521,49864986,1,0,1,3,0,SW_IN
522,49865969,3,0,1,3,0,TICK
523,49865977,2,0,1,3,0,SW_OUT
524,49865985,1,0,1,2,0,SW_IN
525,49866969,3,0,1,2,0,TICK
526,49866977,2,0,1,2,0,SW_OUT
527,49866985,1,0,1,4,0,SW_IN
528,49867969,3,0,1,4,0,TICK
529,49867977,2,0,1,4,0,SW_OUT
530,49867986,1,0,1,1,0,SW_IN
531,49868639,2,0,1,1,0,SW_OUT
532,49868647,1,0,1,5,0,SW_IN
533,49868969,3,0,1,5,0,TICK
534,49868977,2,0,1,5,0,SW_OUT
535,49868986,1,0,1,3,0,SW_IN
536,49869969,3,0,1,3,0,TICK
537,49869977,2,0,1,3,0,SW_OUT
538,49869985,1,0,1,2,0,SW_IN
539,49870969,3,0,1,2,0,TICK
540,49870977,2,0,1,2,0,SW_OUT
541,49870985,1,0,1,4,0,SW_IN
542,49871969,3,0,1,4,0,TICK
543,49871977,2,0,1,4,0,SW_OUT
544,49871986,1,0,1,5,0,SW_IN
545,49872969,3,0,1,5,0,TICK
546,49872977,2,0,1,5,0,SW_OUT
547,49872986,1,0,1,3,0,SW_IN
548,49873969,3,0,1,3,0,TICK
